N,SpectralGap,HubDominance,Assortativity,Diameter
128.0,0.39715432260404393,7.553030231040626,-0.16660909037721228,3.62
256.0,0.4132355941867487,14.357165537560935,-0.17844536272956518,3.54
512.0,0.41441877989347486,15.661190896935862,-0.163440485549223,3.8
1024.0,0.4442744677265546,20.037474225274206,-0.18300933216981213,3.56
2048.0,0.4297839375283898,20.076339740432704,-0.15554541073905315,4.14
4096.0,0.45755731720095183,24.3053651075592,-0.16924366192615467,3.96
8192.0,0.44928042811830443,25.033226587844577,-0.15068752953173992,4.26
16384.0,0.457321189524094,27.119276405694546,-0.13652661772166114,4.04
32768.0,0.4675240786315799,29.445714741200405,-0.1500900135182069,3.98
65536.0,0.47014791240677845,31.04641590569106,-0.13592271856853785,3.68
